pair,total_pnl,trade_count,avg_pnl,std_pnl,win_count,win_rate,trade_sharpe
IOTAUSDT-VETUSDT,1305.5264702084594,11,118.6842245644054,330.27766039474005,6,0.5454545454545454,0.35934681268650387
BLURUSDT-XVGUSDT,3473.9480011996216,9,385.9942223555135,629.6293847857778,5,0.5555555555555556,0.6130498856670141
FLOWUSDT-ZILUSDT,1966.0282342904093,9,218.44758158782327,827.0790250578084,5,0.5555555555555556,0.26411935857345065
IDEXUSDT-STEEMUSDT,674.415807924298,9,74.93508976936644,358.4495508308126,5,0.5555555555555556,0.20905337890836315
STRAXUSDT-VTHOUSDT,856.4790911115178,8,107.05988638893973,400.97099133394937,6,0.75,0.2670015754326096
GLMUSDT-POWRUSDT,1992.240508756464,8,249.030063594558,520.3427955665961,5,0.625,0.47858847228468226
MTLUSDT-VTHOUSDT,933.093894834855,8,116.63673685435687,361.83880443363125,5,0.625,0.32234446782711074
ATAUSDT-FLOWUSDT,7985.391016365648,7,1140.7701451950927,1400.537005987933,6,0.8571428571428571,0.8145233866136926
BICOUSDT-ZILUSDT,2919.0739100882456,7,417.0105585840351,469.7856757966835,6,0.8571428571428571,0.8876612891119977
ALGOUSDT-VETUSDT,4916.428488986789,7,702.3469269981126,1370.8473170989366,4,0.5714285714285714,0.512345115489928
BLURUSDT-ZRXUSDT,1403.868151715367,7,200.5525931021953,766.4230123343609,4,0.5714285714285714,0.2616735012840427
CVCUSDT-MINAUSDT,4572.593740322769,7,653.227677188967,1496.1977966223114,4,0.5714285714285714,0.43659179198341164
HOTUSDT-IOTAUSDT,557.4548201581913,7,79.63640287974161,232.1083169259916,4,0.5714285714285714,0.3431001695003196
POWRUSDT-ZILUSDT,288.8663542001258,7,41.266622028589396,459.1755841758186,4,0.5714285714285714,0.0898711156488416
STEEMUSDT-TLMUSDT,11044.347654671554,7,1577.7639506673647,5608.77843461932,4,0.5714285714285714,0.2813025989632359
NKNUSDT-VOXELUSDT,1038.2566040500155,6,173.04276734166925,131.4585173054911,6,1.0,1.3163298269943375
QNTUSDT-RENDERUSDT,8364.526057090843,6,1394.0876761818072,1430.7542015911145,6,1.0,0.974372589387799
ACHUSDT-VTHOUSDT,3298.358449687797,6,549.7264082812995,877.9672195815766,5,0.8333333333333334,0.6261354592980012
ARPAUSDT-NFPUSDT,6844.093889866595,6,1140.6823149777658,2052.317854680979,5,0.8333333333333334,0.555801974034416
CELOUSDT-POLYXUSDT,1823.1348671073938,6,303.85581118456565,889.3708156554264,5,0.8333333333333334,0.34165255463283617
EDUUSDT-MOVRUSDT,12333.936918879479,6,2055.65615314658,2635.4052735132163,5,0.8333333333333334,0.7800151930356495
FXSUSDT-XAIUSDT,7127.279372805,6,1187.8798954675,1639.5483316418363,5,0.8333333333333334,0.7245165467479464
PAXGUSDT-REZUSDT,5484.734546390348,6,914.1224243983914,2059.2528242486096,5,0.8333333333333334,0.4439097587407418
RADUSDT-VICUSDT,2542.472497312433,6,423.74541621873885,502.2586527648632,5,0.8333333333333334,0.8436796735826849
BATUSDT-MANTAUSDT,3084.1226496318723,6,514.020441605312,1230.0271967469141,4,0.6666666666666666,0.417893557934943
BATUSDT-ZRXUSDT,3711.4980303128345,6,618.5830050521391,804.4813107687372,4,0.6666666666666666,0.7689215358664336
CELRUSDT-VANRYUSDT,4656.934084397148,6,776.155680732858,1411.4904445789139,4,0.6666666666666666,0.5498837655712266
ENJUSDT-VICUSDT,732.4890155608246,6,122.08150259347076,1408.8168497590336,4,0.6666666666666666,0.08665533963080566
GALAUSDT-ZILUSDT,1877.0756764342846,6,312.84594607238074,1393.5670417523575,4,0.6666666666666666,0.22449292836244814
GLMUSDT-HIVEUSDT,2751.388270685629,6,458.5647117809381,768.5771642899009,4,0.6666666666666666,0.5966410831430471
IDEXUSDT-ILVUSDT,1614.3000675031403,6,269.05001125052337,745.5807811410076,4,0.6666666666666666,0.3608596386279965
MINAUSDT-SUSHIUSDT,4144.374292660945,6,690.7290487768241,1582.7195900319275,4,0.6666666666666666,0.4364190935192066
NKNUSDT-PORTALUSDT,1843.3795128938004,6,307.2299188156334,755.6089385033029,4,0.6666666666666666,0.4065991059134228
QTUMUSDT-STEEMUSDT,2299.333170253548,6,383.22219504225797,824.2770387321825,4,0.6666666666666666,0.4649191679919783
RADUSDT-STGUSDT,4673.670563272739,6,778.9450938787899,1174.4024563755058,4,0.6666666666666666,0.6632692989103629
SCUSDT-STORJUSDT,3369.7032988266956,6,561.617216471116,1083.2948059708942,4,0.6666666666666666,0.5184343295800916
VICUSDT-ZROUSDT,1812.2276675517944,6,302.03794459196575,1761.0290799948148,4,0.6666666666666666,0.1715121845647518
ANKRUSDT-KDAUSDT,4317.965954575746,5,863.5931909151492,1040.7890691640087,5,1.0,0.8297485210992961
ANKRUSDT-ZRXUSDT,4339.134366245914,5,867.8268732491828,798.9111971731963,5,1.0,1.0862619979790398
BATUSDT-SUSHIUSDT,2128.8954242900495,5,425.7790848580099,639.7648926895591,5,1.0,0.66552430388614
BICOUSDT-ICPUSDT,2927.038143777026,5,585.4076287554052,527.1849448973418,5,1.0,1.1104407180470623
CHESSUSDT-SEIUSDT,11440.417218596142,5,2288.0834437192284,2907.368431354701,5,1.0,0.7869946646745029
DGBUSDT-ICXUSDT,1937.825945101633,5,387.56518902032656,329.15966623593727,5,1.0,1.1774382732012039
GTCUSDT-SSVUSDT,7647.348222295229,5,1529.4696444590459,926.0075140514618,5,1.0,1.6516816777947303
HIVEUSDT-IDEXUSDT,9989.058630890433,5,1997.8117261780867,1659.7305484428648,5,1.0,1.2036964241288473
POWRUSDT-SLPUSDT,2888.961440057559,5,577.7922880115118,650.0531922663461,5,1.0,0.8888384748901798
RDNTUSDT-ZRXUSDT,2065.647191156841,5,413.1294382313682,480.77333541980715,5,1.0,0.8593018950824866
STEEMUSDT-WUSDT,6834.744314534485,5,1366.948862906897,1461.931976994167,5,1.0,0.9350290467805746
STRAXUSDT-ZKUSDT,1677.8859294313133,5,335.57718588626267,132.26382053369284,5,1.0,2.5371804967691665
TWTUSDT-YFIUSDT,2893.717499397841,5,578.7434998795682,333.8054117091199,5,1.0,1.7337750664866058
ALPACAUSDT-VIDTUSDT,3322.406823060628,5,664.4813646121256,906.5970166805571,4,0.8,0.7329401623723389
ANKRUSDT-OGNUSDT,901.4682095125977,5,180.29364190251954,441.42939601275407,4,0.8,0.4084314355388112
APEUSDT-CELRUSDT,2075.4524614496645,5,415.0904922899329,595.4318337140967,4,0.8,0.6971251263150355
APEUSDT-ZILUSDT,2214.6863245023255,5,442.9372649004651,953.5526812031492,4,0.8,0.4645126311653669
ARKMUSDT-LRCUSDT,2395.7723097927073,5,479.15446195854145,537.2387109533033,4,0.8,0.8918837235468489
ASTRUSDT-WLDUSDT,2395.3571937439706,5,479.0714387487941,688.9077844604793,4,0.8,0.6954072076917822
ATAUSDT-DYMUSDT,1719.3351380452136,5,343.86702760904274,524.0654568376389,4,0.8,0.6561528204587933
