pair,entry_idx,entry_time,entry_price_a,entry_price_b,qty_a,qty_b,alloc_a,alloc_b,entry_comm,exit_idx,exit_time,exit_price_a,exit_price_b,exit_reason,hold_hours,pnl_gross,pnl_net,exit_comm,commission_total
AEVOUSDT-PORTALUSDT,51,2024-05-25 20:00:00+00:00,0.8834415,0.8493751,73628.36135726022,-41152.19530216979,65046.35,34953.65,40.0,55.0,2024-05-26 00:00:00+00:00,0.8725635,0.84072015,mean_revert,4.0,-444.75912211375606,-524.2962823107262,39.53716019697009,79.53716019697009
TRXUSDT-YGGUSDT,51,2024-05-25 20:00:00+00:00,0.11356675499999999,1.0536729,856997.8071487559,-2537.352910946082,97326.46,2673.54,40.0,180.0,2024-05-31 05:00:00+00:00,0.11228383,0.9634814999999999,mean_revert,129.0,-870.6165004040064,-950.085175874779,39.46867547077256,79.46867547077255
CTSIUSDT-STXUSDT,51,2024-05-25 20:00:00+00:00,0.25157415,1.9849919999999999,-231998.67712958588,20974.9611081556,58364.87,41635.13,40.0,99.0,2024-05-27 20:00:00+00:00,0.2405202,2.0959515,mean_revert,48.0,4891.872974136981,4811.967826368971,39.90514776800953,79.90514776800953
MAVUSDT-OPUSDT,51,2024-05-25 20:00:00+00:00,0.47586195000000003,2.549274,-101773.6131245627,20229.21427826118,48430.19,51569.81,40.0,67.0,2024-05-26 12:00:00+00:00,0.4581289499999999,2.584707,mean_revert,16.0,2521.5332310595063,2441.9684189523127,39.5648121071935,79.56481210719349
OGNUSDT-QUICKUSDT,51,2024-05-25 20:00:00+00:00,0.16701645,0.05546772,-266992.5627086434,998920.6334783547,44592.15,55407.85,40.0,53.0,2024-05-25 22:00:00+00:00,0.16638315,0.055772100000000005,mean_revert,2.0,473.1378523815332,393.0838663525513,40.05398602898191,80.05398602898191
HBARUSDT-SCUSDT,51,2024-05-25 20:00:00+00:00,0.10824585,0.007237617,-451279.93359560665,7067356.5622497015,48849.18,51150.82,40.0,52.0,2024-05-25 21:00:00+00:00,0.10835414999999998,0.007252372000000001,mean_revert,1.0,55.405229267606096,-24.656031717547663,40.06126098515376,80.06126098515375
GLMUSDT-MOVRUSDT,51,2024-05-25 20:00:00+00:00,0.5248622999999999,15.460266,108724.65025588618,-2777.088699508792,57065.47,42934.53,40.0,52.0,2024-05-25 21:00:00+00:00,0.5233382,15.421707,mean_revert,1.0,-58.625476290624505,-138.51636068957677,39.89088439895226,79.89088439895227
HOOKUSDT-QNTUSDT,101,2024-05-27 22:00:00+00:00,0.9213391,93.14654999999999,-19080.672903168877,884.8446882895825,17579.77,82420.23,40.0,150.0,2024-05-29 23:00:00+00:00,0.89314635,92.25385,mean_revert,49.0,-251.96421224528797,-331.4330772475972,39.46886500230923,79.46886500230923
CRVUSDT-DOGEUSDT,101,2024-05-27 22:00:00+00:00,0.4990494,0.168545685,68110.95254297472,-391640.2250226697,33990.73,66009.27,40.0,102.0,2024-05-27 23:00:00+00:00,0.49485245,0.1690845,mean_revert,1.0,-496.8798901208252,-576.8499554670533,39.97006534622815,79.97006534622815
JOEUSDT-LRCUSDT,101,2024-05-27 22:00:00+00:00,0.49615180000000003,0.28184085,-98556.65141192674,181311.3322642903,48899.06,51100.94,40.0,222.0,2024-06-01 23:00:00+00:00,0.46913445,0.27116435,mean_revert,121.0,726.9691071043326,648.8085110983101,38.16059600602251,78.1605960060225
