pair,score,trades,wins,losses,win_rate,total_pnl,avg_pnl,median_pnl,best_trade,worst_trade,sharpe,sortino,max_dd,pf,avg_hold_h,return_pct,avg_mae_pct,avg_mfe_pct,z_tp,z_sl,broken_coint,time_exit,beta_drift,circuit,beta_critical
ALTUSDT-KSMUSDT,1.541898,8,8,0,1.0,47653.04,5956.63,6127.16,8052.31,2514.92,4.6362,3.4701,-0.0082,,49.0,4.77,-0.0066,0.0213,8,0,0,0,0,0,0
AAVEUSDT-ENSUSDT,1.538013,7,7,0,1.0,43941.19,6277.31,5165.91,12084.44,3614.41,5.0182,4.9905,-0.0056,,36.0,4.39,-0.0031,0.0222,7,0,0,0,0,0,0
ALTUSDT-GTCUSDT,1.537708,11,11,0,1.0,60119.62,5465.42,5803.84,11567.76,1901.25,5.7983,6.4869,-0.0053,,45.1,6.01,-0.0037,0.022,9,0,1,0,1,0,0
HIVEUSDT-ONEUSDT,1.537591,7,7,0,1.0,53001.12,7571.59,7378.78,9450.61,5317.02,4.4369,2.7342,-0.0065,,41.7,5.3,-0.0078,0.0269,7,0,0,0,0,0,0
DYDXUSDT-SEIUSDT,1.537338,7,7,0,1.0,31869.96,4552.85,4832.32,5780.38,1844.43,4.0213,2.4635,-0.007,,36.6,3.19,-0.0041,0.0168,7,0,0,0,0,0,0
HIVEUSDT-LDOUSDT,1.532765,6,6,0,1.0,39231.02,6538.5,6117.27,10737.8,3223.96,4.0277,2.7871,-0.0045,,42.0,3.92,-0.0056,0.0231,6,0,0,0,0,0,0
KSMUSDT-RAREUSDT,1.530836,6,6,0,1.0,55112.28,9185.38,8888.82,13571.51,4756.21,4.4685,3.2238,-0.0083,,54.0,5.51,-0.0121,0.0319,6,0,0,0,0,0,0
HIVEUSDT-MBOXUSDT,1.52948,8,8,0,1.0,50106.5,6263.31,6627.49,8716.5,2215.91,4.7575,5.1242,-0.008,,60.5,5.01,-0.0044,0.0224,7,0,1,0,0,0,0
ONTUSDT-PORTALUSDT,1.529287,6,6,0,1.0,47540.7,7923.45,7069.26,13902.64,4524.4,3.1448,2.0383,-0.0114,,35.3,4.75,-0.0138,0.0275,6,0,0,0,0,0,0
ARPAUSDT-WAXPUSDT,1.526828,5,5,0,1.0,27005.42,5401.08,4938.74,8483.39,3245.79,4.8014,4.6267,-0.0029,,35.2,2.7,-0.0012,0.0195,5,0,0,0,0,0,0
ANKRUSDT-CHRUSDT,1.526591,5,5,0,1.0,24319.2,4863.84,4863.53,5626.55,4085.62,4.3234,2.337,-0.0033,,42.4,2.43,-0.0014,0.0176,5,0,0,0,0,0,0
GALAUSDT-XAIUSDT,1.526561,5,5,0,1.0,30864.08,6172.82,5778.49,10188.08,2974.68,4.5506,4.2332,-0.0034,,31.2,3.09,-0.0019,0.0219,5,0,0,0,0,0,0
ACEUSDT-LISTAUSDT,1.526423,5,5,0,1.0,39647.4,7929.48,8273.32,9692.94,5455.57,4.7101,3.9211,-0.0037,,22.4,3.96,-0.0022,0.0278,5,0,0,0,0,0,0
AGLDUSDT-BELUSDT,1.526256,5,5,0,1.0,41898.01,8379.6,6902.78,12127.41,5678.67,4.218,3.9602,-0.004,,28.0,4.19,-0.0025,0.0293,5,0,0,0,0,0,0
MTLUSDT-NKNUSDT,1.526183,5,5,0,1.0,49399.92,9879.98,6328.76,24450.11,5192.96,3.2972,3.4071,-0.0042,,28.0,4.94,-0.0046,0.0342,5,0,0,0,0,0,0
