pair,score,trades,wins,losses,win_rate,total_pnl,avg_pnl,median_pnl,best_trade,worst_trade,sharpe,sortino,max_dd,pf,avg_hold_h,return_pct,avg_mae_pct,avg_mfe_pct,z_tp,z_sl,broken_coint,time_exit,beta_drift,circuit,beta_critical,__source_file
QTUMUSDT-REZUSDT,1.55266,10,10,0,1.0,58271.13,5827.11,5356.67,8008.24,3674.92,3.1442,1.5135,-0.0042,,30.0,5.83,-0.0013,0.0207,10,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
DYDXUSDT-RLCUSDT,1.54059,10,10,0,1.0,76089.93,7608.99,6640.08,11810.93,4281.27,2.9669,1.0586,-0.0052,,38.0,7.61,-0.005,0.0267,10,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
ARUSDT-TRUUSDT,1.536108,9,9,0,1.0,87249.74,9694.42,9681.46,15173.9,6927.37,3.5028,1.3178,-0.0067,,29.8,8.72,-0.0024,0.0336,8,0,1,0,0,0,0,pair_scanner_range_0_2268.csv
AVAUSDT-ZILUSDT,1.510113,11,10,1,0.9091,78224.03,7111.28,7316.57,13198.01,-415.17,3.2936,1.6747,-0.006,189.4153,61.1,7.82,-0.002,0.027,9,0,0,2,0,0,0,pair_scanner_range_0_2268.csv
API3USDT-QTUMUSDT,1.408564,5,5,0,1.0,43942.65,8788.53,10412.04,19031.99,111.63,2.7197,1.0403,-0.0032,,34.4,4.39,-0.0018,0.0308,4,0,1,0,0,0,0,pair_scanner_range_0_2268.csv
ANKRUSDT-WAXPUSDT,1.394132,14,12,2,0.8571,68774.15,4912.44,4501.34,14154.09,-3562.74,2.6522,1.2637,-0.0049,19.6888,20.6,6.88,-0.0031,0.0193,11,0,3,0,0,0,0,pair_scanner_range_0_2268.csv
ENJUSDT-MOVRUSDT,1.393994,4,4,0,1.0,25961.96,6490.49,5700.93,9682.87,4877.23,2.6412,1.0153,-0.0015,,35.0,2.6,-0.0006,0.023,4,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
GALAUSDT-XVGUSDT,1.37573,9,8,1,0.8889,40547.94,4505.33,4631.43,7797.07,-1915.41,2.6674,0.9875,-0.0057,22.1693,46.7,4.05,-0.0011,0.0185,6,0,3,0,0,0,0,pair_scanner_range_0_2268.csv
DGBUSDT-ICPUSDT,1.36623,6,6,0,1.0,44994.13,7499.02,7477.46,11394.56,3378.76,2.5201,1.4999,-0.0016,,27.3,4.5,-0.0015,0.0263,6,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
CVCUSDT-FILUSDT,1.359025,10,9,1,0.9,55563.32,5556.33,6186.58,10215.57,-199.2,2.6334,1.1905,-0.0048,279.9272,37.2,5.56,-0.0026,0.0204,7,0,0,3,0,0,0,pair_scanner_range_0_2268.csv
RLCUSDT-SNTUSDT,1.333838,3,3,0,1.0,39411.35,13137.12,12737.37,14339.64,12334.35,2.4987,0.9003,-0.0025,,24.0,3.94,-0.0001,0.0452,3,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
RADUSDT-VICUSDT,1.333316,11,10,1,0.9091,92551.66,8413.79,8985.18,18764.91,-1009.67,2.5753,0.9911,-0.0077,92.665,45.5,9.26,-0.0032,0.0322,6,0,2,2,1,0,0,pair_scanner_range_0_2268.csv
PENDLEUSDT-RUNEUSDT,1.332483,8,8,0,1.0,78951.21,9868.9,9881.37,22058.91,1061.86,2.4849,1.2019,-0.0039,,29.0,7.9,-0.0041,0.0342,6,0,1,1,0,0,0,pair_scanner_range_0_2268.csv
COMPUSDT-DENTUSDT,1.324415,5,5,0,1.0,31789.81,6357.96,5970.25,8689.24,4824.27,2.4195,1.1054,-0.0014,,18.4,3.18,-0.0009,0.0225,5,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
AUCTIONUSDT-JOEUSDT,1.322458,5,5,0,1.0,36333.02,7266.6,6578.79,9210.84,6194.32,2.4171,0.9611,-0.0036,,43.2,3.63,-0.0022,0.0255,5,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
ACHUSDT-XVSUSDT,1.316559,10,8,2,0.8,70039.7,7003.97,8553.32,14057.41,-5940.37,2.5014,0.7163,-0.0073,10.7749,23.6,7.0,-0.0057,0.0268,8,0,2,0,0,0,0,pair_scanner_range_0_2268.csv
CRVUSDT-GHSTUSDT,1.304665,3,3,0,1.0,30726.13,10242.04,11573.05,11688.94,7464.14,2.4167,0.8802,-0.0035,,46.7,3.07,-0.0026,0.035,3,0,0,0,0,0,0,pair_scanner_range_0_2268.csv
