pair,start_index,end_index,start_date,end_date,hedge_ratio,half_life,p_value,beta_btc,z,signal,qty1,qty2,dollar1,dollar2
1000CATUSDT-AIXBTUSDT,9250,9450,2025-08-09 22:00:00+00:00,2025-08-18 05:00:00+00:00,1.002147058644166,9.73,0.043673080889878,-0.0356729341100219,-2.0164630221774145,1,3383600.883367045,199261.0593115044,26865.79,23134.21
1000CATUSDT-AXSUSDT,10300,10500,2025-10-13 12:00:00+00:00,2025-10-21 19:00:00+00:00,1.1507800657476874,3.02,0.0005556073346345,-0.0021642857142574,-3.039328866664774,1,3594991.1217074743,17883.748957371357,20563.35,29436.65
1000CATUSDT-BANDUSDT,8300,8500,2025-06-10 12:00:00+00:00,2025-06-18 19:00:00+00:00,1.2553531682278392,4.27,0.0356985125279981,-0.0407085728017458,2.1085385275810595,-1,3236384.5797956586,50977.59361844846,19515.4,30484.6
1000CATUSDT-BLURUSDT,10300,10500,2025-10-13 12:00:00+00:00,2025-10-21 19:00:00+00:00,1.1315776730327085,2.61,0.0208725190160503,-0.0650986342058541,-2.6645269653430788,1,3739506.7503376426,524473.352668537,21389.98,28610.02
1000CATUSDT-CELRUSDT,8100,8300,2025-05-12 08:00:00+00:00,2025-06-10 11:00:00+00:00,1.41780990893915,5.72,0.0456220614737693,0.097398736660078,-2.202251608917549,1,2481929.380060356,3349162.0132330763,18986.76,31013.24
1000CATUSDT-CFXUSDT,8400,8600,2025-06-14 16:00:00+00:00,2025-06-22 23:00:00+00:00,1.087566489264567,4.82,0.0173426105022745,-0.0274769997451721,2.242865724073901,-1,4345092.195306901,412492.882474479,23724.2,26275.8
1000CATUSDT-COWUSDT,10300,10500,2025-10-13 12:00:00+00:00,2025-10-21 19:00:00+00:00,1.1268935380155094,2.88,0.0003906916833827,-0.0727273247083494,-2.1226485048102712,1,3748331.222487435,119496.00588858528,21440.45,28559.55
1000SATSUSDT-1INCHUSDT,1200,1400,2024-07-28 17:00:00+00:00,2024-08-06 00:00:00+00:00,1.2812914619091131,24.09,0.0137762061385566,0.0121222396127344,2.911820714788406,-1,76990776.90247352,121968.08307949522,17507.7,32492.3
1000SATSUSDT-ADAUSDT,2950,3150,2024-10-09 15:00:00+00:00,2024-10-17 22:00:00+00:00,1.5481055888834383,4.8,0.0186837906865834,-0.0459404613850543,2.111556178223457,-1,54122043.32740258,101243.25426509068,15121.7,34878.3
1000SATSUSDT-AERGOUSDT,1200,1400,2024-07-28 17:00:00+00:00,2024-08-06 00:00:00+00:00,1.4481272263038258,13.04,0.0401772656940821,0.0301874531259694,2.7769360202399715,-1,63930370.52273225,456987.5482362202,14537.77,35462.23
1000SATSUSDT-ALPHAUSDT,1200,1400,2024-07-28 17:00:00+00:00,2024-08-06 00:00:00+00:00,1.1933095588249525,21.74,0.0055895812730586,0.0304782684606429,3.000978861992724,-1,80685459.24558847,630520.4495528523,18347.87,31652.13
1000SATSUSDT-ARPAUSDT,1200,1400,2024-07-28 17:00:00+00:00,2024-08-06 00:00:00+00:00,1.2925567430067522,12.99,0.0049215906748491,-0.0879062297188071,2.280520207976961,-1,75331632.90085673,1020794.6173399126,17130.41,32869.59
1000SATSUSDT-ARUSDT,10300,10500,2025-10-13 12:00:00+00:00,2025-10-21 19:00:00+00:00,0.9158022999650326,3.74,0.0035200278885352,-0.0097952080991564,-2.318217357834278,1,1110647395.770754,5395.772297533846,27499.63,22500.37
1000SATSUSDT-ATAUSDT,1200,1400,2024-07-28 17:00:00+00:00,2024-08-06 00:00:00+00:00,1.2626259541289817,15.46,0.0160889725007721,0.0526503376064716,3.0244946839424114,-1,77319991.38045998,467109.9994248328,17582.57,32417.43
