pair,start_index,end_index,start_date,end_date,hedge_ratio,half_life,p_value,beta_btc,z,signal,qty1,qty2,dollar1,dollar2
1000CATUSDT-ACEUSDT,6550,6750,2025-02-20 15:00:00+00:00,2025-02-28 22:00:00+00:00,1.1407811303775943,6.2,0.0242283159499838,-0.0490034046002421,1.9156133142796403,-1,4060052.1350498553,60561.98677775419,42102.74,57897.26
1000CATUSDT-AIXBTUSDT,9900,10100,2025-08-20 21:00:00+00:00,2025-08-29 04:00:00+00:00,0.876270947312013,4.25,0.0352595159876521,0.018452230842327,-2.3185067716465237,1,7453490.489093156,367119.8672871792,58882.57,41117.43
1000CATUSDT-ALTUSDT,9900,10100,2025-08-20 21:00:00+00:00,2025-08-29 04:00:00+00:00,1.0289093305166803,3.62,0.0040993714602959,0.0635235806150329,-2.3522797202910866,1,6057188.492394126,1508045.428284743,47851.79,52148.21
1000CATUSDT-ANIMEUSDT,10250,10450,2025-09-04 11:00:00+00:00,2025-09-12 18:00:00+00:00,1.4222374740658257,6.52,0.0447864770178015,-0.037894606855235,1.7136260288748526,-1,3312370.715644012,4428598.703743048,27459.55,72540.45
1000CATUSDT-ARBUSDT,8900,9100,2025-06-19 09:00:00+00:00,2025-06-27 16:00:00+00:00,0.9396747518276092,4.66,0.0137466217286472,0.0533178757471295,-1.7659643516783037,1,8024866.524634973,159709.6184973623,49994.92,50005.08
1000CATUSDT-ASTRUSDT,7800,8000,2025-04-13 17:00:00+00:00,2025-04-22 00:00:00+00:00,1.3778085606330177,5.02,0.0041267890320304,-0.0727842935927698,1.8170983882411529,-1,5581829.08962127,2562328.981178458,31816.43,68183.57
1000CATUSDT-ATAUSDT,10250,10450,2025-09-04 11:00:00+00:00,2025-09-12 18:00:00+00:00,1.487354498326656,3.55,0.04387138586704,-0.0494107038725959,2.34898284570689,-1,3552809.769713949,1469733.479355653,29452.79,70547.21
1000CATUSDT-AVAUSDT,8700,8900,2025-06-11 01:00:00+00:00,2025-06-19 08:00:00+00:00,1.2968050930672304,4.03,0.0038943552269771,0.0970868529378129,-1.5132288418331066,1,6304159.529487176,113211.04634087322,38707.54,61292.46
1000CATUSDT-BLURUSDT,10700,10900,2025-10-14 01:00:00+00:00,2025-10-22 08:00:00+00:00,1.137575651968834,3.26,0.0229825235167123,-0.0804896336261373,-1.823693171759338,1,8089094.815669228,1097777.8404606325,43519.33,56480.67
1000CATUSDT-BNTUSDT,7900,8100,2025-04-17 21:00:00+00:00,2025-04-26 04:00:00+00:00,1.6177528549606257,6.44,0.0345357824756906,-0.1075400265532942,2.3261869087419464,-1,2438948.4461138234,178576.5640047505,18926.24,81073.76
